date_time,maxtempC,mintempC,precipMM,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,pressure,visibility,tempC_first_half,tempC_second_half,humidity_first_half,humidity_second_half,windspeedKmph_first_half,windspeedKmph_second_half,winddirDegree_first_half,winddirDegree_second_half,cloudcover_first_half,cloudcover_second_half
2009-04-22,40.0,30.0,0.0,307.2,8.0,0.0,8.58,35.12,35.12,36.21,14.33,1004.67,10.0,34.83,34.08,18.17,19.92,14.33,7.0,320.33,205.25,3.42,0.5
2009-04-23,41.0,28.0,0.0,307.2,8.0,0.0,3.42,34.54,34.54,35.58,16.75,1006.21,10.0,33.92,33.92,14.33,14.08,14.83,9.75,327.92,252.75,0.0,0.0
2009-04-24,41.0,25.0,0.0,307.2,8.0,0.0,7.33,36.54,36.54,36.71,8.17,1006.29,10.0,32.5,34.25,20.83,17.92,5.75,6.42,165.33,88.67,0.0,1.08
2009-04-25,38.0,28.0,0.0,307.2,8.0,1.0,14.12,33.58,33.58,33.5,12.5,1007.54,10.0,32.58,31.92,34.0,30.67,6.33,12.42,152.17,198.25,5.0,5.0
2009-04-26,39.0,26.0,0.0,307.2,8.0,8.0,11.67,33.5,33.5,33.83,11.75,1007.21,10.0,32.0,32.67,32.58,24.25,8.17,7.17,144.75,127.33,8.08,4.33
2009-04-27,42.0,25.0,0.0,307.2,8.0,16.0,13.21,34.88,34.88,34.58,11.04,1006.92,10.0,32.08,33.33,34.75,25.75,7.67,8.17,196.25,187.67,3.83,3.75
2009-04-28,41.0,25.0,0.0,307.2,8.0,23.0,8.54,36.08,36.08,36.0,12.17,1006.29,10.0,32.58,34.17,27.5,16.5,7.42,9.75,143.42,134.25,0.58,0.0
2009-04-29,43.0,26.0,0.0,307.2,8.0,31.0,7.62,38.0,38.0,37.25,11.04,1006.42,10.0,33.67,35.17,23.42,15.42,6.92,8.33,186.92,142.17,0.0,0.92
2009-04-30,44.0,28.0,0.0,309.6,9.0,38.0,8.5,37.04,37.04,37.08,13.17,1005.67,10.0,34.67,37.42,22.25,16.33,9.92,7.5,217.83,202.17,12.08,12.67
2009-05-01,44.0,32.0,0.0,309.6,9.0,44.0,10.25,38.88,38.88,38.29,14.21,1005.62,10.0,36.25,36.5,25.08,15.75,12.17,9.5,235.75,248.92,0.83,0.0
2009-05-02,43.0,29.0,0.0,309.6,9.0,52.0,6.21,37.54,37.54,37.58,15.12,1006.12,10.0,35.33,36.83,20.5,12.83,13.17,7.5,181.0,218.17,2.25,3.25
